type,arrLength,time,attempt
seqMulRed, 141000, 0.015386, 6
simdMulRed, 141000, 0.001158, 6
seqMul, 141000, 0.007033, 7
simdMul, 141000, 0.001411, 7
seqMulRed, 141000, 0.015412, 7
simdMulRed, 141000, 0.001169, 7
seqMul, 141000, 0.007013, 8
simdMul, 141000, 0.001398, 8
seqMulRed, 141000, 0.015317, 8
simdMulRed, 141000, 0.001159, 8
seqMul, 141000, 0.007045, 9
simdMul, 141000, 0.001422, 9
seqMulRed, 141000, 0.015421, 9
simdMulRed, 141000, 0.001171, 9
seqMul, 151000, 0.007501, 0
simdMul, 151000, 0.001495, 0
seqMulRed, 151000, 0.016404, 0
simdMulRed, 151000, 0.001239, 0
seqMul, 151000, 0.007532, 1
simdMul, 151000, 0.001490, 1
seqMulRed, 151000, 0.016579, 1
simdMulRed, 151000, 0.001242, 1
seqMul, 151000, 0.008371, 2
simdMul, 151000, 0.001494, 2
seqMulRed, 151000, 0.016684, 2
simdMulRed, 151000, 0.001365, 2
seqMul, 151000, 0.007504, 3
simdMul, 151000, 0.001505, 3
seqMulRed, 151000, 0.016472, 3
simdMulRed, 151000, 0.001245, 3
seqMul, 151000, 0.007511, 4
simdMul, 151000, 0.001493, 4
seqMulRed, 151000, 0.016532, 4
simdMulRed, 151000, 0.001241, 4
seqMul, 151000, 0.007516, 5
simdMul, 151000, 0.001488, 5
seqMulRed, 151000, 0.016423, 5
simdMulRed, 151000, 0.001244, 5
seqMul, 151000, 0.007598, 6
simdMul, 151000, 0.001506, 6
seqMulRed, 151000, 0.016413, 6
simdMulRed, 151000, 0.001240, 6
seqMul, 151000, 0.008398, 7
simdMul, 151000, 0.001498, 7
seqMulRed, 151000, 0.017150, 7
simdMulRed, 151000, 0.001247, 7
seqMul, 151000, 0.007784, 8
simdMul, 151000, 0.001638, 8
seqMulRed, 151000, 0.018002, 8
simdMulRed, 151000, 0.001304, 8
seqMul, 151000, 0.007510, 9
simdMul, 151000, 0.001502, 9
seqMulRed, 151000, 0.016416, 9
simdMulRed, 151000, 0.001248, 9
seqMul, 161000, 0.008042, 0
simdMul, 161000, 0.001598, 0
seqMulRed, 161000, 0.017522, 0
simdMulRed, 161000, 0.001335, 0
seqMul, 161000, 0.008538, 1
simdMul, 161000, 0.002118, 1
seqMulRed, 161000, 0.017534, 1
simdMulRed, 161000, 0.001324, 1
seqMul, 161000, 0.008406, 2
simdMul, 161000, 0.001931, 2
seqMulRed, 161000, 0.017650, 2
simdMulRed, 161000, 0.001327, 2
seqMul, 161000, 0.008082, 3
simdMul, 161000, 0.001717, 3
seqMulRed, 161000, 0.018155, 3
simdMulRed, 161000, 0.001355, 3
seqMul, 161000, 0.007998, 4
simdMul, 161000, 0.001588, 4
seqMulRed, 161000, 0.018390, 4
simdMulRed, 161000, 0.001326, 4
seqMul, 161000, 0.008008, 5
simdMul, 161000, 0.001592, 5
seqMulRed, 161000, 0.018287, 5
simdMulRed, 161000, 0.001327, 5
seqMul, 161000, 0.008008, 6
simdMul, 161000, 0.001589, 6
seqMulRed, 161000, 0.017510, 6
simdMulRed, 161000, 0.001329, 6
seqMul, 161000, 0.008268, 7
simdMul, 161000, 0.001706, 7
seqMulRed, 161000, 0.018056, 7
simdMulRed, 161000, 0.001325, 7
seqMul, 161000, 0.008008, 8
simdMul, 161000, 0.001587, 8
seqMulRed, 161000, 0.017558, 8
simdMulRed, 161000, 0.001324, 8
seqMul, 161000, 0.007999, 9
